id_rodada,trecho,refatoracao_tipo,persona,replica,status,complexity_base,complexity_pos,complexity_delta,smells_base,smells_pos,smells_delta,tempo_execucao_seg,token_count,prompt_tokens,candidates_tokens
142,Math_1_ReplaceMagicNumber_181,ReplaceMagicNumber,P-3,2,VALIDO,8,8,0,0,0,0,56.85,3970,1054,1106
143,Math_1_ReplaceMagicNumber_181,ReplaceMagicNumber,P-4,1,VALIDO,8,8,0,0,0,0,45.95,3537,1075,1130
144,Math_1_ReplaceMagicNumber_181,ReplaceMagicNumber,P-4,2,VALIDO,8,8,0,0,0,0,43.02,4084,1075,1124
145,Math_1_ReplaceMagicNumber_157,ReplaceMagicNumber,P-1,1,VALIDO,6,6,0,0,0,0,51.99,5862,1086,1254
146,Math_1_ReplaceMagicNumber_157,ReplaceMagicNumber,P-1,2,VALIDO,6,6,0,0,0,0,44.27,5964,1086,1229
147,Math_1_ReplaceMagicNumber_157,ReplaceMagicNumber,P-2,1,VALIDO,6,6,0,0,0,0,42.83,4791,1030,1158
148,Math_1_ReplaceMagicNumber_157,ReplaceMagicNumber,P-2,2,VALIDO,6,6,0,0,0,0,43.78,5122,1030,1131
149,Math_1_ReplaceMagicNumber_157,ReplaceMagicNumber,P-3,1,VALIDO,6,6,0,0,0,0,43.96,4200,1037,1156
150,Math_1_ReplaceMagicNumber_157,ReplaceMagicNumber,P-3,2,VALIDO,6,6,0,0,0,0,47.62,5418,1037,1178
151,Math_1_ReplaceMagicNumber_157,ReplaceMagicNumber,P-4,1,VALIDO,6,6,0,0,0,0,45.18,4896,1058,1206
152,Math_1_ReplaceMagicNumber_157,ReplaceMagicNumber,P-4,2,VALIDO,6,6,0,0,0,0,202.53,4711,1058,1216
153,Math_1_ReplaceMagicNumber_195,ReplaceMagicNumber,P-1,1,VALIDO,5,5,0,0,0,0,44.58,7681,1287,1437
154,Math_1_ReplaceMagicNumber_195,ReplaceMagicNumber,P-1,2,VALIDO,5,5,0,0,0,0,37.56,5778,1287,1482
155,Math_1_ReplaceMagicNumber_195,ReplaceMagicNumber,P-2,1,VALIDO,5,5,0,0,0,0,37.56,6045,1231,1475
156,Math_1_ReplaceMagicNumber_195,ReplaceMagicNumber,P-2,2,VALIDO,5,5,0,0,0,0,37.84,4752,1231,1495
157,Math_1_ReplaceMagicNumber_195,ReplaceMagicNumber,P-3,1,VALIDO,5,5,0,0,0,0,61.81,3827,1238,1491
158,Math_1_ReplaceMagicNumber_195,ReplaceMagicNumber,P-3,2,VALIDO,5,5,0,0,0,0,48.69,5253,1238,1484
159,Math_1_ReplaceMagicNumber_195,ReplaceMagicNumber,P-4,1,VALIDO,5,5,0,0,0,0,43.88,5110,1259,1495
160,Math_1_ReplaceMagicNumber_195,ReplaceMagicNumber,P-4,2,VALIDO,5,5,0,0,0,0,45.3,5250,1259,1491
161,Math_1_ReplaceConditionalWithPolymorphism_68,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,17,27,10,2,2,0,49.52,7304,1248,1421
162,Math_1_ReplaceConditionalWithPolymorphism_68,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,17,30,13,2,1,-1,43.14,5589,1248,1434
163,Math_1_ReplaceConditionalWithPolymorphism_68,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,17,30,13,2,11,9,41.78,9619,1192,1830
164,Math_1_ReplaceConditionalWithPolymorphism_68,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,17,29,12,2,1,-1,47.92,8595,1192,1550
165,Math_1_ReplaceConditionalWithPolymorphism_68,ReplaceConditionalWithPolymorphism,P-3,1,VALIDO,17,20,3,2,1,-1,47.0,7266,1199,1578
166,Math_1_ReplaceConditionalWithPolymorphism_68,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,17,29,12,2,0,-2,41.48,8202,1199,1473
167,Math_1_ReplaceConditionalWithPolymorphism_68,ReplaceConditionalWithPolymorphism,P-4,1,VALIDO,17,30,13,2,2,0,41.98,7508,1220,1648
168,Math_1_ReplaceConditionalWithPolymorphism_68,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,17,43,26,2,0,-2,42.81,9272,1220,2079
169,Math_1_ReplaceConditionalWithPolymorphism_34,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,10,13,3,0,1,1,48.94,9124,1385,1628
170,Math_1_ReplaceConditionalWithPolymorphism_34,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,10,18,8,0,0,0,45.72,9250,1385,1848
171,Math_1_ReplaceConditionalWithPolymorphism_34,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,10,13,3,0,0,0,41.78,9340,1329,1651
172,Math_1_ReplaceConditionalWithPolymorphism_34,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,10,15,5,0,0,0,43.25,7949,1329,1895
173,Math_1_ReplaceConditionalWithPolymorphism_34,ReplaceConditionalWithPolymorphism,P-3,1,VALIDO,10,12,2,0,0,0,42.54,7877,1336,1560
174,Math_1_ReplaceConditionalWithPolymorphism_34,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,10,15,5,0,0,0,41.46,7824,1336,1851
175,Math_1_ReplaceConditionalWithPolymorphism_34,ReplaceConditionalWithPolymorphism,P-4,1,VALIDO,10,12,2,0,0,0,42.77,7092,1357,1582
